DRAN,DRACT,IPONDI
71 ,07,8.0
71 ,08,1.0
71 ,09,1.0
71 ,10,13.0
71 ,11,2.0
71 ,12,1.0
71 ,13,79.0
72 ,07,1.0
72 ,10,3.0
72 ,11,9.0
72 ,12,1.0
72 ,13,37.0
73 ,08,1.0
73 ,09,1.0
73 ,10,3.0
73 ,11,14.0
73 ,12,5.0
73 ,13,102.0
74 ,08,4.0
74 ,09,5.0
74 ,10,17.0
74 ,11,30.0
74 ,13,146.0
75 ,08,43.0
75 ,09,6.0
75 ,10,74.0
75 ,11,65.0
75 ,12,41.0
75 ,13,1169.0
76 ,07,6.0
76 ,08,11.0
76 ,10,16.0
76 ,11,24.0
76 ,12,12.0
76 ,13,167.0
77 ,08,13.0
77 ,09,3.0
77 ,10,108.0
77 ,11,43.0
77 ,12,10.0
77 ,13,226.0
78 ,08,5.0
78 ,10,40.0
78 ,11,23.0
78 ,12,4.0
78 ,13,306.0
79 ,08,1.0
79 ,10,3.0
79 ,11,11.0
79 ,13,7.0
80 ,08,4.0
80 ,09,1.0
80 ,10,8.0
80 ,11,9.0
80 ,12,5.0
80 ,13,42.0
81 ,08,1.0
81 ,09,10.0
81 ,10,4.0
81 ,11,59.0
81 ,12,111.0
81 ,13,44.0
82 ,09,8.0
82 ,11,3.0
82 ,12,27.0
82 ,13,25.0
83 ,08,12.0
83 ,09,10.0
83 ,10,6.0
83 ,11,67.0
83 ,12,7.0
83 ,13,1757.0
84 ,08,2.0
84 ,09,14.0
84 ,10,8.0
84 ,11,30.0
84 ,12,1.0
84 ,13,1153.0
85 ,08,10.0
85 ,10,4.0
85 ,11,6.0
85 ,12,4.0
85 ,13,26.0
86 ,07,2.0
86 ,08,5.0
86 ,09,3.0
86 ,10,5.0
86 ,11,5.0
86 ,12,8.0
86 ,13,20.0
87 ,09,6.0
87 ,10,14.0
87 ,11,14.0
87 ,12,5.0
87 ,13,21.0
88 ,08,4.0
88 ,09,4.0
88 ,10,7.0
88 ,11,11.0
88 ,12,2.0
88 ,13,21.0
89 ,10,131.0
89 ,11,9.0
89 ,13,54.0
90 ,08,2.0
90 ,10,2.0
90 ,11,2.0
90 ,12,5.0
90 ,13,19.0
91 ,08,10.0
91 ,09,3.0
91 ,10,68.0
91 ,11,35.0
91 ,12,2.0
91 ,13,228.0
92 ,08,8.0
92 ,09,7.0
92 ,10,48.0
92 ,11,19.0
92 ,12,16.0
92 ,13,422.0
93 ,08,3.0
93 ,09,1.0
93 ,10,45.0
93 ,11,25.0
93 ,12,8.0
93 ,13,294.0
94 ,08,9.0
94 ,09,3.0
94 ,10,65.0
94 ,11,19.0
94 ,12,12.0
94 ,13,230.0
95 ,08,6.0
95 ,09,4.0
95 ,10,34.0
95 ,11,28.0
95 ,12,9.0
95 ,13,167.0
971,08,5.0
971,10,30.0
971,11,6.0
971,12,3.0
971,13,43.0
972,08,1.0
972,10,15.0
972,11,5.0
972,12,4.0
972,13,40.0
973,08,7.0
973,09,4.0
973,10,23.0
973,11,19.0
973,12,2.0
973,13,56.0
974,08,7.0
974,09,2.0
974,10,12.0
974,11,31.0
974,12,9.0
974,13,139.0
975,11,1.0
975,13,3.0
976,09,5.0
976,10,5.0
976,12,3.0
976,13,33.0
977,07,2.0
977,11,1.0
978,13,4.0
98,09,2.0
98,11,25.0
98,12,2.0
98,13,72.0
99,08,113.0
99,09,51.0
99,10,269.0
99,11,212.0
99,12,95.0
99,13,2946.0
01 ,14,11.0
01 ,15,5.0
01 ,16,1.0
01 ,17,4.0
01 ,18,10.0
02 ,14,16.0
02 ,16,2.0
02 ,17,13.0
02 ,18,8.0
03 ,14,3.0
03 ,15,14.0
03 ,16,7.0
03 ,17,11.0
03 ,18,53.0
03 ,19,4.0
04 ,14,5.0
04 ,15,1.0
04 ,16,2.0
04 ,17,2.0
04 ,18,1.0
05 ,17,7.0
05 ,18,1.0
06 ,14,20.0
06 ,15,8.0
06 ,16,9.0
06 ,17,33.0
06 ,18,10.0
06 ,19,9.0
07 ,15,4.0
07 ,16,2.0
07 ,17,11.0
07 ,18,5.0
08 ,14,11.0
08 ,15,3.0
08 ,16,1.0
08 ,17,1.0
08 ,18,2.0
09 ,14,1.0
09 ,16,2.0
09 ,17,3.0
09 ,18,4.0
09 ,19,1.0
10 ,14,15.0
10 ,16,1.0
10 ,17,11.0
10 ,18,8.0
10 ,19,2.0
11 ,14,9.0
11 ,16,11.0
11 ,17,9.0
11 ,18,2.0
12 ,14,3.0
12 ,15,44.0
12 ,16,1.0
12 ,17,11.0
12 ,18,6.0
12 ,19,14.0
13 ,14,34.0
13 ,15,10.0
13 ,16,18.0
13 ,17,34.0
13 ,18,24.0
