DRAN,DRACT,IPONDI,insee_dep_x,lat_dest,lng_dest,insee_dep_y,lat_src,lng_src
09,02,3.84975774009784,02,49.559813275991445,3.558087277023658,09,42.9207826309554,1.5039341639969477
09,03,2.1593435537856,03,46.39381563364784,3.18813351109937,09,42.9207826309554,1.5039341639969477
09,06,19.96429051437619,06,43.9380214983474,7.116144773756707,09,42.9207826309554,1.5039341639969477
10,01,2.788691168487762,01,46.099628623191094,5.348923142711287,10,48.304495238528276,4.1620867790637215
10,02,5.77170874845473,02,49.559813275991445,3.558087277023658,10,48.304495238528276,4.1620867790637215
10,03,26.581100652014527,03,46.39381563364784,3.18813351109937,10,48.304495238528276,4.1620867790637215
10,04,25.45037677002074,04,44.105953173469146,6.243551214366354,10,48.304495238528276,4.1620867790637215
10,05,3.38700747761932,05,44.663706822016515,6.263200801496509,10,48.304495238528276,4.1620867790637215
10,06,61.54510136854728,06,43.9380214983474,7.116144773756707,10,48.304495238528276,4.1620867790637215
10,07,4.2993087807360295,07,44.751719837620335,4.4245805188405125,10,48.304495238528276,4.1620867790637215
11,01,15.177910155514741,01,46.099628623191094,5.348923142711287,11,43.10328680786167,2.4137816586570686
11,02,35.02014483536291,02,49.559813275991445,3.558087277023658,11,43.10328680786167,2.4137816586570686
11,03,15.50041020960132,03,46.39381563364784,3.18813351109937,11,43.10328680786167,2.4137816586570686
11,05,1.01249683872849,05,44.663706822016515,6.263200801496509,11,43.10328680786167,2.4137816586570686
11,06,48.09273928493333,06,43.9380214983474,7.116144773756707,11,43.10328680786167,2.4137816586570686
11,07,3.17997988264254,07,44.751719837620335,4.4245805188405125,11,43.10328680786167,2.4137816586570686
12,01,28.26781467407381,01,46.099628623191094,5.348923142711287,12,44.28037945825159,2.6795792961691283
12,03,34.78674190316587,03,46.39381563364784,3.18813351109937,12,44.28037945825159,2.6795792961691283
12,04,3.84346177842731,04,44.105953173469146,6.243551214366354,12,44.28037945825159,2.6795792961691283
12,06,67.61539030388556,06,43.9380214983474,7.116144773756707,12,44.28037945825159,2.6795792961691283
12,07,5.22559112466939,07,44.751719837620335,4.4245805188405125,12,44.28037945825159,2.6795792961691283
13,01,155.661049331329,01,46.099628623191094,5.348923142711287,13,43.54610365450018,5.086065112941293
13,02,44.74041520639173,02,49.559813275991445,3.558087277023658,13,43.54610365450018,5.086065112941293
13,03,116.05345507194994,03,46.39381563364784,3.18813351109937,13,43.54610365450018,5.086065112941293
13,04,727.001365627916,04,44.105953173469146,6.243551214366354,13,43.54610365450018,5.086065112941293
13,05,358.6633958235203,05,44.663706822016515,6.263200801496509,13,43.54610365450018,5.086065112941293
13,06,1311.700547734735,06,43.9380214983474,7.116144773756707,13,43.54610365450018,5.086065112941293
